Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count,Temp
Ellcrys,0,1,6,9,8,0
Bitpanda,0,1,2,8,7,0
Arena Match,0,1,4,9,8,0
Discodery,0,1,1,8,5,0
Qtum,0,1,1,10,11,2
Netkoin,0,1,3,8,7,0
Algorand,1,1,1,17,9,24
Ten Billion Coin,0,1,6,9,5,0
OVR,0,1,3,6,8,1
BAGS token,0,0,3,7,6,0
AllForCrypto,1,1,3,14,6,0
Civic,0,1,2,6,9,115
Komodo,0,0,1,10,8,0
Netbox.Global,0,1,1,5,10,0
BRIKCOIN,1,1,6,24,6,0
PIEXGO,2,0,4,21,6,0
ParamountDax,0,1,1,4,6,0
Mediacoin,0,0,4,8,6,0
Dusk Network,0,0,8,8,10,0
Counos Platform,0,1,2,8,4,3
BTCOW,0,1,3,7,3,0
FIO Social,0,0,3,8,3,0
PBET,0,1,6,8,8,0
COINCOME,0,0,3,9,5,0
Comno Network,0,0,1,12,8,0
Blaze Protocol,0,1,7,24,5,0
Genesis,0,0,0,3,3,12
DocTailor,0,1,6,9,6,0
Fortem Capital,0,1,6,10,8,0
Authoreon,0,1,4,8,6,0
IdeaFeX,0,1,2,5,6,0
Ubrica,0,1,3,6,4,0
Typerium,0,1,3,8,6,0
VCC Exchange,0,0,2,7,5,0
Product Protocol,0,1,6,12,9,0
SDAT,0,0,0,11,4,0
Sparrow,0,0,2,5,8,0
Anchor,1,1,1,16,8,0
Creamcoin,0,1,2,7,9,0
CINDX,0,1,6,9,6,0
Atlas Protocol,0,0,6,10,7,0
PlasmaPay,0,1,2,13,8,0
Raven Protocol,0,0,2,11,8,0
Bcnex,1,1,2,15,7,6
Triffic,1,1,0,16,8,0
CoTrader,0,1,6,20,7,0
MimbleWimbleCoin,1,1,0,23,7,13
MiMiDi,0,1,2,5,4,0
Globatalent,1,1,1,10,8,0
Xprivate Chat,0,1,3,7,5,0
Homebloc,0,1,3,10,6,0
XR Web,0,1,2,7,5,0
SUKU,0,0,4,15,7,0
diamDEXX,0,0,2,19,7,0
Ampleforth,1,1,7,15,5,0
Minglechain,1,1,5,24,5,0
Bitwings,0,1,8,15,8,-20
UHIVE,0,1,2,8,7,0
Tryvium,0,1,4,7,7,0
AiBB,0,1,5,9,8,0
Dukascoin,0,1,2,9,3,0
SixDomainChain,0,1,3,8,8,0
Crypto Market Ads,0,1,3,10,8,0
UniversalCoin,0,1,2,10,5,0
P2PS,1,1,6,19,8,0
SOCIAL CHAINS,1,1,3,27,6,0
Reserve Round 2,0,0,2,8,0,4
DVMarketplace,0,1,4,6,8,0
Bank of Hodlers,0,1,1,5,5,22
Opiria,0,1,2,6,6,0
Kozjin,0,1,3,7,8,0
BULLEX,0,0,5,15,7,15
AllSesame,0,1,6,11,9,0
Fesschain,1,1,3,22,7,0
Dayta,0,1,6,11,9,0
Mindexcoin,0,1,2,5,5,0
GRAYLL,0,1,2,6,8,0
Ferrum Network,1,1,2,18,7,0
TEN,0,1,2,8,5,0
NOIA Network,0,1,3,9,9,1
Matrix AI Network,0,1,1,5,11,0
AMUSE,1,1,2,13,8,0
MediConnect,0,1,2,6,9,0
BitTube,0,0,0,8,7,0
Authpaper,0,1,1,4,6,0
BTSCOIN,0,1,3,6,3,0
CoinHe,0,1,3,6,5,0
StellarPay,0,1,3,5,8,0
IOTW,0,1,2,7,6,700
Cryptoxygen,0,1,4,9,7,0
CINEMADROM,0,1,6,17,5,0
Fusion Coin,0,0,2,8,4,0
CBNT,0,1,3,9,7,0
ODEM,0,1,1,4,10,15
EarthBi,0,1,3,8,4,0
Venoty,0,1,5,10,7,0
Futurepia,0,1,3,6,7,0
RTREE,0,1,2,8,4,6
Streamex,0,1,5,10,5,0
Tipestry,1,1,5,18,6,0
Betinance,0,0,1,6,6,0
BitForex,1,1,2,17,6,0
Coinquista,0,0,1,4,4,0
AMANPURI,0,1,4,9,6,0
Atomic Wallet,1,1,1,20,7,100
Five Colors Coin,0,1,5,8,6,0
EVEN Foundation,0,1,2,8,8,0
Konstellation,0,1,1,5,7,0
Gemstra,0,1,5,10,8,5
Chelle Coin,1,1,2,14,6,0
Pukkamex,1,1,1,12,6,0
AVXChange,0,1,5,8,6,0
eden.best,0,1,2,6,3,0
Licht Project,1,1,7,20,7,0
Trade Nexi,0,1,3,6,10,0
OpenWeb Network,0,1,2,6,6,0
Somesing,1,1,0,16,7,0
Vite,0,1,1,5,9,0
MADANA,0,1,2,7,7,0
Knowledge,0,1,5,11,7,20
Block and Chain,0,1,1,13,9,0
Monarch,0,1,4,9,6,0
Ally Network,1,1,3,14,5,0
Files.fm,0,1,1,7,8,0
Terra Credit,1,1,1,11,7,10
Tangle,0,1,3,9,4,0
Vecap,1,1,4,10,7,0
Havaex,0,1,3,6,4,0
FST Network,0,1,4,8,7,700
Vodi X,0,1,1,14,7,0
QuarkChain,2,1,2,20,11,0
Purple Butterfly Trading,0,1,3,6,6,0
Digitex,2,1,1,18,7,0
Omnity,1,1,4,16,4,0
Sheepcoin,0,1,2,4,7,1
QuiGig,0,1,1,4,5,0
BitValve,1,1,8,13,4,0
ARCC,0,1,2,6,7,0
Verity,0,1,1,14,7,0
Belacam,0,1,1,10,5,0
BlocPal,0,0,1,9,7,0
Mindsync,0,1,7,12,7,0
Velic,0,1,3,17,7,0
HighBank,0,1,5,7,8,0
FortFC,1,1,5,18,7,0
CurveBlock,0,1,1,6,8,0
Huddl,0,1,1,8,7,0
Moozicore,0,1,2,6,7,0
CryptoSoul,0,1,2,11,8,0
Nodis,0,1,3,5,5,0
Solve.Care,1,1,3,10,10,20
4hiphop,1,1,3,14,3,0
Almeedex,0,1,3,8,4,500
Saiterm,0,1,3,7,8,0
XCOYNZ,0,1,4,11,6,0
BtcEX,0,1,3,5,5,0
VANM,0,1,4,9,6,300
HyperionX,1,0,4,19,9,0
Crypto Potential,0,1,1,5,6,0
WOWX,0,1,1,5,7,0
TriipMiles,1,1,2,15,8,0
YellowTradingCoin,0,1,1,7,3,0
Bluenote,0,1,4,8,7,300
Cogmento,0,1,4,15,5,0
XPChain,0,1,4,5,7,0
KRONN,0,1,2,5,2,200
GLAD Network,0,1,3,9,9,0
TheVault,0,1,5,9,5,0
CoinTiger,0,0,2,9,7,0
Precium Foundation,0,1,2,6,5,0
Global Cryptocurrency,0,1,1,10,8,0
Z-POP DREAM,0,1,2,7,7,0
WHIRL,1,1,3,20,6,0
Daily Coin News,0,1,2,9,2,0
BitTorrent,0,1,0,8,10,0
Hxro,1,0,1,12,4,10
DACC,0,1,2,6,10,0
Singh,0,1,2,11,5,0
POP Network,0,1,8,8,8,0
MESG,0,1,3,9,7,0
DataOnBlock,0,1,0,7,5,0
PROOF OF TOSS,1,1,1,12,8,0
TerraGreen,1,1,3,17,7,5
PaxPago,0,1,6,11,7,0
Afincoin,0,1,7,10,5,0
The Collective,0,0,5,11,6,0
LTO Network,0,0,3,8,7,0
Insights Network,0,1,2,9,7,1
Cloverdex,0,1,3,6,8,0
DecentraX,0,1,3,9,7,0
Volentix,0,1,2,6,8,200
Energi,0,0,8,16,11,20
Opu Labs,0,1,1,7,8,0
ShareMeAll,0,1,6,9,6,0
MyCryptoBank,1,1,5,18,8,0
Grailum Lab,0,1,1,11,2,0
Petchains,0,1,5,8,6,0
Paradise Token,0,1,5,7,8,0
Game Fanz,0,1,1,10,7,0
Konkrete,1,0,5,17,3,0
KlickZie,0,1,5,8,5,0
TradePlace,0,1,2,11,8,0
Ares Tech,0,1,1,5,6,0
HubrisOne,0,1,4,10,8,0
PerksCoin,0,1,3,6,6,0
Sentivate,0,1,6,14,7,0
Bitcoin Confidential,0,0,0,4,6,1
Dragonglass,0,1,2,4,10,0
THORChain,0,1,4,9,7,0
Griffex,0,1,7,13,6,0
Accumulus Threat Shield,0,1,5,6,7,0
EARNET,1,1,4,16,6,0
MobileGo,1,1,6,21,10,0
HotelLoad,0,1,3,5,4,0
DNN,0,1,2,6,7,0
Playgroundz,0,1,4,11,8,0
BitSong,1,1,1,18,8,0
OmniBazaar,0,1,3,12,8,0
Inmax,0,1,3,7,8,0
Platon Finance,0,0,4,6,7,0
idap.io,2,1,1,19,8,0
Levolution,0,0,6,8,6,0
Bethereum,0,1,1,7,9,0
GAMB,0,1,3,9,5,0
Ice Chain,1,1,3,13,6,1
Pareto Network,0,1,4,15,11,0
Solarex,0,1,2,6,7,0
Spectrum,0,1,2,6,6,0
Faba,0,1,3,8,8,0
Indochain,0,1,3,9,8,0
Liquid (Raffle),1,1,3,20,5,0
VeganNation,0,1,1,11,5,0
Dsion,0,1,2,8,5,0
Tokenville,0,0,3,5,9,0
Gooreo,0,1,2,4,7,0
PopulStay,0,1,2,14,8,0
Uris,0,1,2,7,7,0
Havven,0,1,1,4,9,0
CryptoBonusMiles,0,1,1,5,10,0
Jarvis,0,1,4,6,5,0
Bancryp,1,1,1,17,5,0
MEDoctor,0,1,5,7,4,0
Cubego,0,0,2,9,7,0
Unification,0,1,4,7,6,0
Mind AI,0,1,5,12,7,0
Cures Token,0,1,7,5,5,0
Mobile Token Bank,0,1,2,6,5,0
GoDDEX,0,1,3,9,4,0
SpringRole,1,1,1,14,8,0
Securypto,0,1,2,7,7,1
Dolla,0,1,5,11,4,0
Tune Token,0,1,5,5,7,0
V SYSTEMS,0,1,3,9,5,390
OcNet,0,1,2,10,6,0
Orbise,0,0,5,7,6,0
Sonata.ai,0,1,4,7,7,0
Phoneum,0,1,6,13,7,0
C2C,0,1,3,11,5,0
BitCanna,0,1,6,10,7,0
Smart Trade Coin,0,1,3,6,6,0
Wellmee,1,1,8,19,8,0
Varius World Tech,0,1,5,8,5,0
ZenSports,0,1,4,7,5,0
Raido,0,1,4,9,6,0
Biton,0,1,3,6,6,0
Tokedo,1,1,2,8,4,0
UniFox,0,1,6,12,8,0
One Solution,0,1,2,6,6,0
PGF500,0,1,4,9,5,50
Datafund,0,1,4,13,4,0
Trippki,0,1,4,11,6,0
Murmur,0,0,1,4,5,0
Rewards,1,1,1,17,8,0
Namacoin,0,1,4,6,6,0
THE 4TH PILLAR,0,1,3,7,8,0
QUBAY,0,1,3,10,6,0
ALLIVE,0,1,4,6,5,0
Clear Foundation,0,0,7,8,6,0
TheFund.io,0,1,3,6,7,0
Qobit,0,1,7,13,7,0
GAMO Protocol,0,1,6,10,6,0
Bitozz,0,1,4,6,6,3
ND Invest,0,1,9,14,7,0
GG International,0,1,6,9,5,0
Tradesprite,0,0,5,10,7,0
VeryFile,0,1,4,6,4,0
TEMCO,2,1,2,18,6,0
Social Note,0,1,4,6,7,1
XRP by Huobi,0,0,0,6,0,0
X Infinity,0,1,1,5,6,0
FanChain,0,1,5,8,7,0
Fidelity House,0,1,3,7,7,0
Bitcademy,0,1,6,12,8,1
FiiiCoin,0,1,6,9,6,0
Platin,0,1,4,5,6,0
HintChain,0,1,3,6,6,0
London Block Exchange,0,1,3,7,6,240
Phoenix,0,1,4,6,7,0
Athero,0,1,5,6,6,0
Lition,0,1,4,6,7,0
SciDex,1,1,4,7,7,10
Betform,0,1,3,4,8,0
Yanu,0,1,3,6,8,0
Little Phil,1,1,7,13,9,-300
Monoreto,0,1,2,10,8,0
FEEDOCK,0,1,5,9,6,0
HARA,1,1,3,12,7,7
Vreo,0,1,4,7,5,1
HiLynk,0,1,4,7,7,230
Depository Network,2,1,3,29,4,0
Platio,0,1,6,9,8,-20
DX.Exchange,0,0,4,12,5,-35
BCoin,0,1,9,14,8,0
Skrumble Network,1,1,3,6,6,0
EtherInc,1,1,3,23,9,0
MyOS,0,0,4,14,5,0
EurekaPro,0,0,5,9,5,0
Consensus,0,1,4,6,7,0
Stox,0,1,2,7,10,0
Mycro Jobs,0,1,6,10,7,0
Instant Sponsor,0,1,5,6,6,0
GoFind.World,0,1,2,4,5,0
MinedBlock,1,1,4,16,5,0
Crypt-ON,0,1,4,9,9,0
CoinJax,0,0,4,8,4,1
LEXIT,1,1,5,12,6,0
AIVON,0,1,4,7,6,320
Archetypal Network,0,1,3,8,7,0
B21,0,1,1,5,7,0
Open Packaging Network,0,1,7,17,7,0
Bistox Exchange,0,0,3,5,6,0
FortKnoxster,1,1,2,14,8,0
Connecty,1,1,6,23,7,0
Truwho,0,1,3,10,7,0
Hydro Protocol,0,1,4,5,4,0
Kidbizo,0,1,4,7,4,0
SIRIN LABS,0,1,4,12,9,0
Get Achieve,0,1,1,7,8,0
Bright Network,0,1,4,7,7,0
Sentinel,1,0,1,10,6,0
Certified Diamond Coin,0,1,4,8,8,0
idealcoin,0,1,3,7,6,0
GOZO,0,1,7,12,6,0
Smart Refinery Technologies,0,1,4,10,8,0
Javvy,0,1,3,6,4,10
STAYGE,0,1,4,8,7,0
Zulu Republic,0,0,1,5,5,19
Aelf,0,1,4,0,9,21
ETH Birds,0,0,1,5,6,1
weBloc,0,1,2,6,6,0
Superbloom,0,1,1,5,7,1
Rise,0,0,4,9,5,30
Bitsrent,0,1,5,7,5,1
Cryptocoin Insurance,0,1,4,7,5,0
Job.com,0,1,1,7,7,0
Bionic,0,1,0,4,7,1
Renaissance Engineering,0,1,3,6,6,0
Cubiex,1,1,5,19,6,0
Qredit,0,1,3,5,5,0
DigitalBits,0,0,6,6,5,1
IUNO,0,1,3,6,8,280
eMusic,0,1,2,6,7,0
Restart Energy,0,1,1,5,10,0
Infinitus,0,1,2,7,6,0
Lampix,0,1,0,4,9,0
Magnetics,0,1,1,4,5,0
AORA,0,1,7,11,7,0
Sportsfix,1,0,5,14,4,0
Qlear Protocol,0,1,4,6,5,0
MorLabs,0,1,4,7,5,600
WooshCoin,0,1,5,9,5,0
Coinbates,0,1,1,6,4,0
ONO,1,1,1,7,6,0
Triphop,0,1,4,7,4,80
Neironix,0,1,1,4,7,0
PowerChain,0,1,3,5,6,0
Xenia,0,1,4,9,4,0
Your Data Safe,0,1,7,9,8,0
Pigzbe,1,1,4,7,7,0
Balehu Protocol,0,1,6,13,5,0
Storiqa,0,1,2,6,10,0
Centaure,2,1,3,12,8,0
Loopring,0,0,0,14,7,3
AI Crypto,1,1,4,16,6,0
SPIN Protocol,0,0,3,7,5,5
Social Media Pay,0,1,4,6,6,0
ABBC foundation,0,1,2,6,7,0
REDi,0,1,3,7,6,20
LogisticsX,0,1,3,7,5,0
FasTrader,0,1,4,6,5,0
TokenBacon,0,1,2,5,8,0
SUAPP,0,1,8,12,8,0
DISTRICTS,1,0,2,12,7,0
ECTA,0,1,4,9,8,0
Silent Notary,1,1,1,11,8,0
Centive,0,1,2,6,9,0
PingPaid,0,1,2,6,6,3
Becent,0,1,1,7,5,0
XTribe,0,1,4,7,4,200
INLOCK,0,1,6,8,8,0
Krypti,0,1,4,8,5,0
ASOBI COIN,1,1,5,18,6,0
Borneo,0,1,5,9,8,0
Nerves Foundation,0,1,3,5,7,0
Tatau,0,1,4,12,3,0
Aenco,0,1,2,5,9,0
CyberVein,1,1,6,19,8,5
Karatcoin,0,1,5,7,7,0
ArtPro,0,1,4,6,8,0
Penchant,0,1,5,8,4,0
Parkade,0,1,8,12,6,0
NonZero,0,1,8,10,8,3
Cardonio,0,1,4,10,5,10
Sansox,1,1,4,11,6,80
Swachhcoin,1,1,5,18,8,30
Shopin,0,1,5,10,7,260
Blockkonnect,0,1,3,6,8,0
dClinic,0,1,3,6,7,90
X-Cash,0,0,2,10,8,0
Vibeo,0,1,2,3,7,0
Masternode Invest,0,1,4,7,7,0
Topex,0,1,4,6,7,0
Berminal,0,1,2,4,4,100
Expanse,0,0,0,5,9,0
Osmium Investment Coin,1,1,4,15,8,0
AURA,0,1,3,6,4,0
WMpro,0,1,2,6,8,0
Securix,0,1,3,5,8,0
UDAP,0,1,3,5,6,0
Olife,0,1,3,7,4,0
Curaizon,0,1,5,9,6,70
ODIN,0,1,3,5,5,215
RedCab,0,1,4,7,8,0
Contents Protocol,0,1,4,7,5,6
Beverage Cash,0,1,6,10,5,1
XMax,0,1,6,7,7,4
Scienceroot,0,1,1,3,8,0
Spheroid Universe,0,1,4,9,5,0
X-Block,0,1,8,6,8,0
Buying,0,1,4,7,7,0
One Game,1,1,1,10,8,0
WOM Token,0,0,5,9,7,0
Caspian,0,1,4,11,5,0
iLink2Music,0,1,4,8,5,0
Natmin Pure Escrow,0,1,6,13,6,0
Kineticex,0,1,6,10,8,0
Zwoop,0,1,3,5,6,0
INDX Capital,0,1,2,6,6,0
PayX,0,1,3,9,6,100
Skynet,0,1,5,8,5,0
LoveBlock,1,0,3,12,5,0
TTC PROTOCOL,1,1,2,12,6,0
Bithereum,0,1,6,9,7,0
MOAC,0,1,5,6,6,0
Bitfam,0,1,4,8,7,0
Republia,0,1,5,12,9,0
FUNKEYpay,0,1,2,6,5,0
Papusha,0,1,5,9,7,0
iTrue,0,1,6,7,7,0
Beam,0,1,3,6,6,100
KiMex,0,1,6,10,7,0
Twogap,0,1,4,10,8,-300
LATTICE80,0,0,5,6,5,0
Florafic,0,1,4,6,5,0
BitMart,0,1,2,5,7,0
Efforce,0,1,3,9,8,0
Spiking,1,1,5,13,9,0
Bidooh,0,1,3,7,6,0
imusify,0,1,5,13,9,180
ICOVO,0,1,4,10,9,0
Cloudbric,0,1,4,8,7,0
Tachain,0,1,5,9,6,4
WorkChain,0,1,5,11,8,0
BrokerNekoNetwork,0,1,4,9,4,0
SUBAJ,0,1,2,5,7,0
Scanetchain,0,1,4,7,6,0
Payperblock,1,1,3,11,5,0
Greenlink,0,1,7,15,5,0
55 Exchange,0,1,4,7,4,0
Finnoq,0,1,5,10,5,0
DateMe,0,1,1,4,5,0
Helios Protocol,1,1,2,13,5,0
Gravity GZRO,0,0,2,6,5,0
Gosama,0,1,4,8,6,0
LaneAxis,1,1,3,10,8,0
CRYPTTO,0,1,1,12,8,0
Sleecoin,0,1,1,5,5,0
NAU,0,1,1,5,7,0
TrigID,1,1,5,20,7,0
VeChain,0,1,1,5,10,81
Avatara,0,1,4,8,7,0
ODYSSEY,1,1,1,11,8,0
Rate3,0,1,2,8,11,0
Bouncy Coin,0,1,4,10,6,0
AgentMile,2,1,3,23,7,0
Hirefreehands,0,1,4,7,6,0
Denarii Cash,0,1,4,13,7,0
WebDollar,0,1,3,7,7,0
WeBuy,0,1,4,10,7,2
MECA Coin,0,1,1,5,5,0
ABELE GROUP,0,1,3,7,7,0
AGATE,0,1,3,6,8,0
Kronos Token,0,1,6,11,6,0
Wandx,0,1,3,8,6,0
Envoy,0,0,6,12,6,0
iRide,0,1,4,8,6,0
Synthetics AI,0,1,3,9,4,0
Symphony,0,1,6,11,7,0
Margin,0,1,3,6,5,0
GSC Aviation,0,1,1,9,7,0
Share Internet Data,0,1,4,10,8,0
MetaHash,0,1,2,6,8,0
HyperQuant,0,1,2,6,6,0
Kheper,0,1,3,11,4,0
Opporty,0,1,1,7,7,0
Blackbox Foundation,0,1,3,6,9,250
MedChain,0,1,5,7,6,0
VIDDO,0,1,3,6,5,0
GreenHashes,0,1,4,6,4,-1500
Pearl Pay,1,1,3,12,5,0
High Performance Blockchain,0,1,5,7,8,0
Conference Coin,0,1,4,5,5,0
YondoCoin,0,1,4,5,7,0
Kvantor,1,1,4,11,6,0
Jupiter Chain,0,1,4,7,7,0
ZeroState,1,1,1,4,8,0
MapCoin,0,1,2,4,4,0
EyeGlob.Net,0,1,8,9,7,0
Crypviser,0,1,2,6,8,0
MARAChain,1,1,3,13,8,0
NextPakk,1,1,6,19,7,200
Distributed Blocks,0,1,2,5,4,0
Fieldcoin,0,1,6,10,5,-200
VEIAG,0,1,4,8,5,-450
LockTrip,0,0,5,15,9,0
ZINC,0,1,4,9,5,0
Spl.yt,0,1,5,9,7,0
SilkChain,0,1,2,5,8,0
unitalent,0,1,2,7,7,0
CareerChain,0,1,5,8,4,0
CraftR,0,1,2,6,5,0
Thingschain,0,1,3,5,6,0
Hashgard,0,1,1,4,6,50
Daviescoin,0,1,5,6,5,70
Contractium,0,1,2,0,4,0
MOBU,0,1,3,8,7,0
Philanthor,0,1,2,8,7,0
Medipedia,0,1,3,7,7,0
TLPAC,0,1,2,5,5,0
Sports Ledger,0,1,5,16,6,100
Real Estate Doc,0,1,4,7,5,0
CAREONchain,0,1,5,12,7,0
Project H,0,0,1,5,2,0
DREAM & INDORSE,0,0,2,5,5,0
BuratinoBS,0,1,6,10,5,0
OpenBrix,0,1,4,7,6,0
VU Token,0,0,3,7,9,40
BolieCoin,0,0,6,7,6,0
CampusCoin,0,0,3,10,9,0
RIPAEX,0,0,2,5,7,0
BlockVest,0,1,5,9,4,0
NeoPlace,0,0,6,5,5,0
INTRO,0,1,4,7,8,0
GStar Ecosystem,0,0,2,6,6,0
Everipedia,0,0,0,16,6,0
ZeroBank,0,1,4,7,6,0
Vidy,0,1,4,13,6,0
Attrace,0,0,2,5,6,0
SVPER,0,0,5,5,6,0
RockerCoin,0,0,3,8,4,0
Rays Network,0,0,2,6,6,0
Tokenize,0,0,5,8,5,6
Dream Real,0,1,5,10,5,0
Asian Develop Coin,0,0,4,6,9,0
AIRSTAYZ,0,0,2,5,6,0
YINC,0,0,5,13,7,0
BLOXIA,0,1,3,6,5,70
Color,0,0,6,12,5,0
Watermelonblock,0,0,3,3,8,0
Hurtle Coin,0,0,3,5,3,0
BIGBANG,0,0,7,7,7,0
Starflow,0,1,5,7,6,0
MYTC,0,0,1,3,7,0
Aniko,0,0,3,12,5,0
W Green Pay,0,0,2,5,6,0
GUARIUM,0,0,4,7,7,0
Prime Shipping Foundation,0,1,5,11,5,10
Propy,0,1,2,6,10,0
Easy Trading Platform,0,0,0,0,0,0
DNeT,0,1,2,10,4,6
Meritt protocol,0,0,0,8,5,0
STAR BIT,0,0,4,13,5,0
MulTra,0,0,3,4,8,0
Expercoin,0,1,2,6,7,0
Kava,0,0,4,9,5,0
Bytemine,0,1,2,6,6,0
UNICO,0,1,3,14,5,0
Diro,0,1,5,8,7,0
Gratzio,0,1,5,15,7,0
Bixtrim,0,1,2,4,7,0
Inmediate,0,1,5,7,6,0
JSEcoin,0,1,5,11,8,-30
MediLOT,0,1,2,7,7,0
PCHAIN,0,0,3,8,7,0
HELIX Orange,0,1,4,4,6,0
Shipit,0,1,4,7,7,140
Miracle Tele,1,0,6,27,5,200
Runs,0,1,4,7,6,0
IGNITE,0,1,2,6,4,0
eLYQD,0,1,4,6,7,0
Bailsman,0,1,3,7,7,0
Lambda,0,1,1,5,4,0
Rubius,0,1,4,7,5,0
Svandis,0,1,3,4,6,0
AllSporter,0,0,4,9,6,0
Playrs,0,1,6,7,6,40
CoinAnalyst,0,1,1,6,7,5
Spokkz,0,1,1,5,7,0
Zantepay,0,1,7,10,7,0
Cure Cosplay,0,1,2,7,6,0
WAB Network,0,1,3,5,7,0
Liquid8,0,1,3,8,5,0
Fanship,0,1,3,11,6,0
Inmusik,0,1,6,10,8,0
CrowdToken,0,1,1,6,6,0
OSA,0,1,2,10,7,0
moolyacoin,0,1,3,6,9,160
Hyperbridge,0,1,3,6,7,150
TombCare,0,1,1,5,7,0
Tuurnt,0,1,3,5,6,0
Usechain,0,1,3,10,8,76
Storeplex,0,1,4,0,5,0
ParcelX,0,1,6,12,6,0
APRES,0,1,3,5,6,0
Blockhive,0,0,2,7,7,0
Creatanium,0,1,2,5,4,0
TradeRiser,0,1,4,13,6,0
RedCab,0,1,6,10,9,0
Monopoly,0,1,2,7,8,0
Sharevest,0,1,4,7,4,0
Explorio,0,1,3,5,6,0
EPIPHANY,0,1,2,6,8,0
BUMO,0,0,2,11,6,0
Barrel,0,1,4,10,4,0
CryptoMillionsLotto,0,1,4,6,6,0
ImmVRse,0,1,3,6,7,100
Atidium,0,1,0,0,5,0
DTO,0,1,1,7,8,0
Provoco,0,1,1,9,6,0
TraXion,0,1,1,6,7,0
BitEsprit,0,1,7,12,6,0
HEROIC.com,0,1,6,13,8,0
Dench Music,0,1,3,5,7,0
Versara Trade,0,1,4,6,7,0
MiBoodle,0,1,3,0,7,0
HelloGold,0,0,3,5,9,170
ODMCoin,0,1,2,7,7,0
Waves,0,1,4,15,11,0
MEvU,0,1,3,6,6,0
Casper API,0,1,4,6,8,0
WAR FIELD,0,1,4,0,6,2
Leonardian,0,1,1,6,5,0
Cornucopia,0,1,0,0,3,0
Tutellus,0,1,3,6,8,50
Corl,0,1,3,5,6,0
Prandex,0,0,3,8,6,0
Dizcovery Network,0,1,1,5,5,0
BlockFollow,0,1,4,8,6,0
Grapevine World,0,1,4,7,7,0
Blockonomics,0,1,2,4,7,0
Nauticus,0,1,7,10,8,0
Further Network,0,1,4,10,8,0
Breezecoin,0,1,4,10,9,0
RAcoin,0,1,2,7,6,0
TRESARO,0,1,4,8,8,0
Wemark,0,1,3,10,8,0
Setteo,0,1,2,7,6,0
ERN,0,1,3,12,5,0
Terawatt,0,1,2,5,8,0
CryptovationX,0,1,4,6,6,0
Feedchain,0,1,7,10,7,0
Basis Neuro,0,1,5,0,5,0
Staramba,0,1,2,6,6,0
re:factor,0,1,4,5,8,0
GreenX,0,1,3,7,7,0
FTW,0,1,2,6,5,0
Atlantis Blue,0,1,3,5,5,0
Parkres,0,1,4,8,7,0
LendsBay,0,1,5,11,6,0
0xcert,0,1,3,8,8,0
Humanscape,0,1,5,12,7,4
CrowdIF,0,1,1,9,4,1
VideoCoin,0,1,2,5,6,0
Nebula,0,1,1,0,4,0
NeoNameService,0,1,0,0,5,0
Sparkster,0,1,1,0,7,0
Buddy,1,1,2,6,6,0
CrypStock,0,1,1,4,6,0
Luvdub,0,1,5,4,8,0
Aworker,0,1,4,8,6,0
QLC Chain,0,1,1,5,10,0
Sponsy,0,1,3,7,7,130
Menlo One,0,1,3,6,7,0
WeSend,0,1,3,7,6,0
InsCoin,0,1,5,12,6,0
ExTrade,0,1,1,0,6,0
MUXE,0,1,4,8,7,0
Lina,0,1,3,4,6,0
Zoidcoin,0,1,3,7,4,0
Origin Sport,0,1,5,6,7,0
No BS Crypto,0,0,4,10,5,0
Cosmecoin,0,1,5,25,7,3
Railz,0,1,4,7,7,0
ContentBox,0,1,1,9,4,20
rLoop,0,0,4,6,6,0
Bitney,0,1,3,5,6,0
APIS,0,1,2,13,7,30
XMED Chain,0,1,3,5,5,30
IndiCoin,0,1,5,15,9,0
Nobar,0,1,3,0,5,0
Coinself,0,1,5,9,7,0
MAKEAFOLIO,0,1,4,7,5,0
Iris.ai,0,1,2,5,4,0
Deedcoin,0,1,2,0,7,0
DAV,0,1,2,5,8,0
Find.Exchange,0,1,6,13,7,0
INGOT Coin,0,1,4,7,7,0
Profede,0,1,3,7,8,460
Box 2 Table,0,1,1,6,5,0
GlobeCas,0,1,2,5,6,0
GOeureka,0,1,4,0,4,0
Xeeda,0,1,2,0,5,0
RecordsKeeper,0,1,4,6,6,0
DATAVLT,0,1,4,7,6,0
Jibbit,0,1,2,0,8,0
Loyakk,0,1,2,7,8,0
AVINOC,0,1,1,4,3,0
TokenUnion,0,1,3,8,5,0
Root Blockchain,0,1,3,6,8,0
Ormeus Coin,0,1,2,0,7,0
CryptoRiya,0,1,2,4,7,0
Mjolnir Guard,0,1,3,11,5,0
Daox,0,1,4,0,8,0
PavoCoin,0,1,2,0,6,0
Brainmab,0,1,2,0,4,0
Viewo,0,1,3,0,1,0
FanFare,0,1,3,7,6,0
Crystals,0,1,2,0,6,0
XGenomics,0,1,1,0,5,0
Gese,0,1,5,13,8,0
ASKfm 2.0,0,1,1,0,6,0
B2BX,0,1,2,5,7,0
Lamoneda,0,1,3,6,5,0
Accounting Blockchain,0,1,3,4,6,0
Energi Token,0,1,1,5,7,0
Nebeus,0,1,2,5,5,100
iRegMed,0,1,2,5,4,0
Paygine,0,1,2,0,5,0
Ivy,0,1,1,0,5,0
Binex.Trade,0,1,1,5,6,0
